account,situs_address,evac_zone,evac_city
10507641,56555 HWY 62 A19,JAC-106,JAC
10507932,56385 HWY 62 B1,JAC-106,JAC
10508084,56385 HWY 62 B21,JAC-106,JAC
10856702,301 RED BLANKET RD,JAC-122,JAC
10990708,CROWFOOT RD,JAC-139,JAC
10215155,7544 HWY 227,JAC-112,JAC
10215163,7499 HWY 227,JAC-112,JAC
30171187,7499 HWY 227,JAC-112,JAC
10215180,7600 HWY 227,JAC-112,JAC
10250731,25500 HWY 62,JAC-133,JAC
10251218,26790 HWY 62,JAC-134,JAC
10515163,2060 MILL CR DR,JAC-121,JAC
10221205,2697 OLD FERRY RD,JAC-137,JAC
30085488,23611 HWY 62 12,JAC-131,JAC
30102553,23611 HWY 62 8B,JAC-131,JAC
30121791,23611 HWY 62 2,JAC-131,JAC
30085851,23611 HWY 62 8A,JAC-131,JAC
10221465,23611 HWY 62,JAC-131,JAC
30023368,23611 HWY 62 29,JAC-131,JAC
10221473,1115 RAGSDALE RD,JAC-131,JAC
10221505,23593 HWY 62,JAC-131,JAC
10221741,249 D'ANCONIA DR,JAC-131,JAC
10760288,INDIAN CR RD,SHC-157,SHC
10271039,735 OLD FERRY RD,SHC-157,SHC
10252611,2400 INDIAN CR RD,SHC-157,SHC
10849753,500 INDIAN TRAIL CT,SHC-157,SHC
10888279,600 INDIAN TRAIL CT,SHC-157,SHC
10879620,270 YEW WOOD DR,SHC-156,SHC
10614879,5167 ROGUE RIVER DR,JAC-158,JAC
10983027,MADDEN LN,SHC-156,SHC
30984157,10 MADDEN LN,SHC-156,SHC
10763285,20738 HWY 62,SHC-156,SHC
10223474,185 DRAKE RD,SHC-154,SHC
10149572,MEADOWS RD,JAC-147,JAC
10849682,MEADOWS RD,JAC-147,JAC
10148201,MEADOWS RD,JAC-147,JAC
10148195,RAMSEY RD,JAC-147,JAC
10611133,17833 MEADOWS RD,JAC-147,JAC
10629602,RAMSEY RD,JAC-147,JAC
10629597,RAMSEY RD,JAC-147,JAC
10521230,1875 SYKES CR RD,JAC-012,JAC
10228115,ROGUE RIVER DR,JAC-204,JAC
10629001,2162 BUTTE FALLS HWY,JAC-219,JAC
10229932,646 ROGUE RIVER DR,JAC-204,JAC
10848889,SIERRA DR,JAC-217,JAC
10564276,820 ROGUE WOODS DR,JAC-214,JAC
10620480,ROGUE WOODS DR,JAC-214,JAC
10934691,401 CANYON WAY,EPT-221,EPT
10974111,360 SANDI WAY,EPT-222,EPT
10974250,623 ANDREA WAY,EPT-222,EPT
10974316,347 BRADLEY WAY,EPT-222,EPT
10974608,341 BRADLEY WAY,EPT-222,EPT
10540143,2180 N OBENCHAIN RD,JAC-306,JAC
10151531,ROCK CR RD,JAC-202,JAC
10598775,ROCK CR RD,JAC-202,JAC
10152692,4494 WINNETKA RD,JAC-204,JAC
10154431,14777 DUGGAN RD,JAC-202,JAC
10154636,MC DONOUGH RD,JAC-202,JAC
10158158,442 MC DONOUGH RD,JAC-202,JAC
10159375,13400 TABLE ROCK RD,JAC-211,JAC
10816210,13400 TABLE ROCK RD,JAC-211,JAC
10698031,SAMS CR RD,JAC-201,JAC
10522293,HOERSTER LN,JAC-022,JAC
